,aboue_3u,aboue_3v,about_3u,about_3v,although_5u,although_5v,belieue_5u,belieue_5v,but_1u,but_1v,cause_2u,cause_2v,causes_2u,causes_2v,colour_4u,colour_4v,could_2u,could_2v,course_2u,course_2v,court_2u,court_2v,cure_1u,cure_1v,cut_1u,cut_1v,deliuered_4u,deliuered_4v,diuers_2u,diuers_2v,duke_1u,duke_1v,euen_1u,euen_1v,euer_1u,euer_1v,euery_1u,euery_1v,fauour_2u,fauour_2v,fiue_2u,fiue_2v,full_1u,full_1v,further_1u,further_1v,gaue_2u,gaue_2v,giue_2u,giue_2v,giuen_2u,giuen_2v,gouernment_2u,gouernment_2v,ground_3u,ground_3v,haue_2u,haue_2v,hauing_2u,hauing_2v,heauen_3u,heauen_3v,honour_4u,honour_4v,humble_1u,humble_1v,leaue_3u,leaue_3v,leaues_3u,leaues_3v,liue_2u,liue_2v,loue_2u,loue_2v,much_1u,much_1v,must_1u,must_1v,nature_3u,nature_3v,neuer_2u,neuer_2v,ouer_1u,ouer_1v,our_1u,our_1v,oure_1u,oure_1v,out_1u,out_1v,pound_2u,pound_2v,proue_3u,proue_3v,purpose_1u,purpose_1v,put_1u,put_1v,receiue_5u,receiue_5v,receiued_5u,receiued_5v,saue_2u,saue_2v,selues_3u,selues_3v,seruant_3u,seruant_3v,serue_3u,serue_3v,seruice_3u,seruice_3v,seueral_2u,seueral_2v,soule_2u,soule_2v,suche_1u,suche_1v,sum_1u,sum_1v,sure_1u,sure_1v,themselues_7u,themselues_7v,though_3u,though_3v,thought_3u,thought_3v,thus_2u,thus_2v,trouble_3u,trouble_3v,true_2u,true_2v,truly_2u,truly_2v,trust_2u,trust_2v,uertue_0u,uertue_0v,uery_0u,uery_0v,under_0u,under_0v,understand_0u,understand_0v,unto_0u,unto_0v,up_0u,up_0v,upon_0u,upon_0v,uppon_0u,uppon_0v,us_0u,us_0v,use_0u,use_0v,used_0u,used_0v,ut_0u,ut_0v,vertue_4u,vertue_4v,without_5u,without_5v,would_2u,would_2v,young_2u,young_2v,your_2u,your_2v,youre_2u,youre_2v,yours_2u,yours_2v
1650,0,10,31,0,6,0,0,8,293,0,14,0,16,0,0,0,42,0,9,0,19,0,7,0,3,0,0,8,0,8,1,0,0,13,3,23,1,21,0,0,0,5,14,0,11,0,0,8,4,29,1,12,1,0,4,0,31,212,0,28,0,10,0,0,12,0,2,15,0,2,3,4,0,16,95,0,68,0,29,0,0,21,1,23,76,0,0,0,79,0,1,0,0,3,7,0,11,0,1,3,2,2,1,11,0,10,1,14,3,1,2,7,0,3,7,0,0,0,3,0,19,0,0,12,53,0,27,0,12,0,5,0,9,0,5,0,1,0,0,2,2,79,13,0,4,0,22,7,47,4,85,7,0,0,62,6,29,2,6,0,1,0,2,0,29,0,49,0,4,0,162,0,0,0,9,0
1651,1,31,68,0,14,0,0,22,458,0,29,0,3,0,11,0,48,0,7,0,6,0,37,0,20,0,0,3,0,18,6,0,0,10,5,28,2,30,0,2,0,18,15,0,16,0,0,9,3,65,0,24,0,2,9,0,32,322,0,25,0,2,0,0,24,0,3,18,0,20,0,10,3,73,127,0,89,0,20,0,2,35,0,41,64,0,2,0,108,0,55,0,1,11,13,0,82,0,0,9,5,12,0,6,0,3,0,15,0,16,1,15,0,1,3,0,0,0,3,0,9,0,0,12,48,0,24,0,47,0,15,0,22,0,14,0,5,0,0,3,3,145,21,0,10,0,20,0,72,0,171,1,2,0,54,2,66,0,42,0,0,0,3,0,42,0,83,0,4,0,256,0,0,0,12,0
1652,0,29,59,0,33,0,1,9,567,0,105,0,37,0,29,0,40,0,5,0,4,0,61,0,20,0,0,2,0,92,7,0,0,12,1,17,1,107,0,3,0,27,24,0,7,0,0,8,2,109,0,27,0,11,14,0,4,473,0,38,0,3,5,0,9,0,0,18,0,74,1,20,1,27,164,0,101,0,97,0,0,50,1,38,260,0,1,0,101,0,16,0,0,11,14,0,50,0,0,26,3,9,0,3,0,3,1,15,0,9,0,10,0,15,0,0,0,0,1,0,7,0,0,26,80,0,11,0,55,0,7,0,31,0,13,0,1,0,0,29,1,176,64,0,31,0,80,1,65,0,165,2,2,0,103,0,117,0,33,0,1,0,29,0,104,0,87,0,13,0,182,0,0,0,5,0
1653,1,123,459,0,41,0,0,57,2075,0,174,0,44,0,10,0,347,0,50,0,163,0,15,0,38,0,0,39,0,125,67,0,0,63,0,154,0,312,0,47,0,120,114,0,137,0,1,74,3,347,2,166,0,200,55,0,19,2263,1,199,0,29,53,0,63,0,0,112,0,28,0,68,2,149,649,0,295,0,72,0,0,228,2,175,747,0,2,0,678,0,66,0,0,31,80,0,296,0,0,80,1,132,0,42,0,22,0,111,1,73,1,95,0,250,9,0,0,0,22,0,135,0,0,206,322,0,154,0,111,0,68,0,120,0,41,0,45,0,0,15,0,712,208,0,65,0,292,1,401,1,1054,0,1,0,351,1,218,0,70,0,1,0,15,0,240,0,567,0,68,0,1120,0,1,0,78,0
1654,1,73,423,0,18,0,1,37,1279,0,87,0,10,0,7,0,175,0,39,0,177,0,9,0,17,0,1,39,0,119,193,0,0,37,13,121,0,194,1,23,3,82,106,0,153,0,4,49,3,214,1,190,0,142,22,0,56,1457,5,235,0,18,64,0,45,0,0,67,1,3,1,46,0,82,439,0,112,0,44,0,2,115,0,123,623,0,10,0,475,0,22,0,0,24,57,0,126,0,0,92,3,139,1,32,0,3,0,37,2,37,3,111,0,255,8,0,0,0,49,0,48,0,0,161,165,0,125,0,112,0,31,0,69,0,14,0,48,0,0,7,2,455,251,1,39,0,235,1,209,3,761,13,0,0,312,5,87,0,44,1,3,0,7,0,213,0,306,0,45,0,595,0,0,0,51,0
1655,0,2,17,0,4,0,1,4,77,0,5,0,1,0,0,0,9,0,3,0,0,0,14,0,4,0,0,3,0,6,0,0,0,2,1,4,0,18,0,0,0,0,7,0,4,0,0,0,4,11,0,4,0,1,3,0,21,46,0,7,0,4,1,0,1,0,1,4,0,0,3,4,1,1,18,0,8,0,18,0,1,13,1,3,12,0,6,0,32,0,0,0,1,1,2,0,11,0,0,3,0,4,1,1,0,0,0,1,0,4,0,1,0,6,0,0,0,0,0,0,2,0,0,1,5,0,2,0,6,0,2,0,0,0,2,0,1,0,0,0,0,23,10,0,5,0,2,0,9,1,41,4,0,0,9,0,12,0,4,0,0,0,0,0,12,0,16,0,1,0,62,0,1,0,1,0
1656,1,3,5,0,1,0,0,4,114,0,8,0,1,0,1,0,6,0,9,0,1,0,1,0,0,0,0,2,0,3,1,0,0,2,1,6,0,6,0,2,1,0,9,0,1,0,1,2,0,15,0,5,0,2,0,0,27,123,0,5,0,1,3,0,5,0,0,2,0,1,0,4,0,15,66,0,42,0,29,0,0,6,3,8,13,0,5,0,13,0,0,0,0,2,5,0,7,0,0,2,1,4,0,2,0,4,1,4,0,1,0,4,0,5,2,0,0,0,2,0,11,0,0,7,17,0,5,0,2,0,8,0,3,0,4,0,1,0,0,0,0,54,4,0,3,0,2,0,10,0,31,3,0,0,13,1,39,1,14,0,0,0,0,0,10,0,41,0,5,0,138,0,0,0,9,0
1657,0,2,4,0,2,0,0,0,91,0,3,0,2,0,4,0,17,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,5,13,0,5,2,0,0,1,2,0,0,0,1,3,4,11,1,4,0,0,3,0,29,82,1,3,1,0,0,0,9,0,2,1,0,0,2,1,5,5,31,0,16,0,2,0,2,7,1,5,35,0,0,0,17,0,2,0,0,1,1,0,6,0,0,1,0,2,0,0,1,2,1,1,2,7,2,4,0,0,1,0,0,0,0,0,5,0,0,3,11,0,6,0,4,1,4,0,4,0,3,0,3,1,0,0,1,37,3,1,3,1,2,5,10,7,22,6,1,0,29,1,0,3,1,0,0,0,0,0,3,0,32,0,1,0,71,0,4,0,8,0
1658,1,11,48,0,14,0,0,5,283,0,45,0,5,0,10,0,21,0,17,0,62,0,8,0,6,0,0,10,0,4,2,0,0,5,1,21,0,21,0,15,0,13,13,0,6,0,1,10,2,52,0,24,0,3,6,0,17,283,0,9,0,11,8,0,12,0,0,22,0,10,1,9,1,25,79,0,98,0,40,0,1,38,0,22,46,0,0,0,100,0,12,0,0,4,11,0,36,0,0,7,1,7,0,2,0,17,0,12,0,5,3,12,0,13,2,0,0,0,2,0,6,0,0,21,39,0,17,0,40,0,13,0,31,0,10,0,10,0,0,15,0,102,24,0,8,0,24,0,62,0,150,1,0,0,33,0,31,0,9,0,0,0,15,0,23,0,93,0,6,0,258,0,0,0,8,0
1659,0,13,40,0,7,0,0,13,310,0,15,0,3,0,13,0,27,0,11,0,8,0,9,0,4,0,0,4,0,4,2,0,0,9,1,25,0,47,0,3,1,2,17,0,14,0,0,4,3,47,1,18,0,20,3,0,6,324,2,17,0,2,15,0,22,0,0,19,0,3,0,13,0,19,92,0,47,0,22,0,0,33,1,26,116,0,0,0,70,0,2,0,0,5,16,0,29,0,0,9,1,14,0,0,0,9,0,18,0,9,0,11,0,2,0,0,0,0,0,0,17,0,0,31,40,0,25,0,7,0,10,0,8,0,3,0,15,0,0,14,0,75,37,0,4,0,44,0,43,0,133,1,1,0,95,1,20,0,6,0,4,0,14,0,46,0,56,0,1,0,161,0,0,0,12,0
